,Close
1999-12-31,102.81
2000-01-31,103.75
2000-02-29,114.62
2000-03-31,135.81
2000-04-28,124.06
2000-05-31,84.0
2000-06-30,52.38
2000-07-31,50.81
2000-08-31,60.94
2000-09-29,25.75
2000-10-31,19.56
2000-11-30,16.5
2000-12-29,14.88
2001-01-31,21.62
2001-02-28,18.25
2001-03-30,22.07
2001-04-30,25.49
2001-05-31,19.95
2001-06-29,23.25
2001-07-31,18.79
2001-08-31,18.55
2001-09-28,15.51
2001-10-31,17.56
2001-11-30,21.3
2001-12-31,21.9
2002-01-31,24.72
2002-02-28,21.7
2002-03-28,23.67
2002-04-30,24.27
2002-05-31,23.3
2002-06-28,17.72
2002-07-31,15.26
2002-08-30,14.75
2002-09-30,14.5
2002-10-31,16.07
2002-11-29,15.5
2002-12-31,14.33
2003-01-31,14.36
2003-02-28,15.01
2003-03-31,14.14
2003-04-30,14.22
2003-05-30,17.95
2003-06-30,19.06
2003-07-31,21.08
2003-08-29,22.61
2003-09-30,20.72
2003-10-31,22.89
2003-11-28,20.91
2003-12-31,21.37
2004-01-30,22.56
2004-02-27,23.92
2004-03-31,27.04
2004-04-30,25.78
2004-05-28,28.06
2004-06-30,32.54
2004-07-30,32.34
2004-08-31,34.49
2004-09-30,38.75
2004-10-29,52.4
2004-11-30,67.05
2004-12-31,64.4
2005-01-31,76.9
2005-02-28,44.86
2005-03-31,41.67
2005-04-29,36.06
2005-05-31,39.7593
2005-06-30,36.81
2005-07-29,42.65
2005-08-31,46.89
2005-09-30,53.61
2005-10-31,57.59
2005-11-30,67.82
2005-12-30,71.89
2006-01-31,75.51
2006-02-28,68.49
2006-03-31,62.72
2006-04-28,70.39
2006-05-31,59.77
2006-06-30,57.27
2006-07-31,67.96
2006-08-31,67.85
2006-09-29,76.98
2006-10-31,81.08
2006-11-30,91.66
2006-12-29,84.84
2007-01-31,85.73
2007-02-28,84.61
2007-03-30,92.91
2007-04-30,99.8
2007-05-31,121.191
2007-06-29,122.04
2007-07-31,131.76
2007-08-31,138.48
2007-09-28,153.47
2007-10-31,189.95
2007-11-30,182.22
2007-12-31,198.08
2008-01-31,135.36
2008-02-29,125.02
2008-03-31,143.5
2008-04-30,173.95
2008-05-30,188.75
2008-06-30,167.44
2008-07-31,158.95
2008-08-29,169.53
2008-09-30,113.66
2008-10-31,107.59
2008-11-28,92.67
2008-12-31,85.35
2009-01-30,90.13
2009-02-27,89.31
2009-03-31,105.12
2009-04-30,125.83
2009-05-29,135.81
2009-06-30,142.43
2009-07-31,163.39
2009-08-31,168.21
2009-09-30,185.35
2009-10-30,188.5
2009-11-30,199.91
2009-12-31,210.732
2010-01-29,192.063
2010-02-26,204.62
2010-03-31,235.0
2010-04-30,261.09
2010-05-28,256.88
2010-06-30,251.53
2010-07-30,257.25
2010-08-31,243.1
2010-09-30,283.75
2010-10-29,300.98
2010-11-30,311.15
2010-12-31,322.56
2011-01-31,339.32
2011-02-28,353.21
2011-03-31,348.5075
2011-04-29,350.13
2011-05-31,347.83
2011-06-30,335.67
2011-07-29,390.48
2011-08-31,384.83
2011-09-30,381.32
2011-10-31,404.78
2011-11-30,382.2
2011-12-30,405.0
2012-01-31,456.48
2012-02-29,542.44
2012-03-30,599.55
2012-04-30,583.98
2012-05-31,577.73
2012-06-29,584.0
2012-07-31,610.76
2012-08-31,665.24
2012-09-28,667.105
2012-10-31,595.32
2012-11-30,585.28
2012-12-31,532.1729
2013-01-31,455.49
2013-02-28,441.4
2013-03-28,442.66
2013-04-30,442.78
2013-05-31,449.735
2013-06-28,396.53
2013-07-31,452.53
2013-08-30,487.216
2013-09-30,476.75
2013-10-31,522.702
2013-11-29,556.07
2013-12-31,561.02
2014-01-31,500.6
2014-02-28,526.24
2014-03-31,536.74
2014-04-30,590.09
2014-05-30,633.0
2014-06-30,92.93
2014-07-31,95.6
2014-08-29,102.5
2014-09-30,100.75
2014-10-31,108.0
2014-11-28,118.93
2014-12-31,110.38
2015-01-30,117.16
2015-02-27,128.46
2015-03-31,124.43
2015-04-30,125.15
2015-05-29,130.28
2015-06-30,125.425
2015-07-31,121.3
2015-08-31,112.76
2015-09-30,109.95
2015-10-30,119.5
2015-11-30,118.3
2015-12-31,105.26
2016-01-29,97.34
2016-02-29,96.69
2016-03-31,108.99
2016-04-29,93.74
2016-05-31,99.86
2016-06-30,95.6
2016-07-29,104.21
2016-08-31,106.1
2016-09-30,113.05
2016-10-31,113.54
2016-11-30,110.52
2016-12-30,115.82
2017-01-31,121.35
2017-02-28,136.99
2017-03-31,143.66
2017-04-28,143.65
2017-05-31,152.76
2017-06-30,144.02
2017-07-31,148.73
2017-08-31,164.0
2017-09-29,154.12
2017-10-31,169.04
2017-11-30,171.85
2017-12-29,169.23
2018-01-31,167.43
2018-02-28,178.12
2018-03-29,167.78
2018-04-30,165.26
2018-05-31,186.87
2018-06-29,185.11
2018-07-31,190.29
2018-08-31,227.63
2018-09-28,225.74
2018-10-31,218.86
2018-11-30,178.58
2018-12-31,157.74
2019-01-31,166.44
2019-02-28,173.15
2019-03-29,189.95
2019-04-30,200.67
2019-05-31,175.07
2019-06-28,197.92
2019-07-31,213.04
2019-08-30,208.74
2019-09-30,223.97
2019-10-31,248.76
2019-11-29,267.25
2019-12-31,293.65
2020-01-31,309.51
2020-02-28,273.36
2020-03-31,254.29
2020-04-30,293.8
2020-05-29,317.94
2020-06-30,364.8
2020-07-31,425.04
2020-08-31,129.04
2020-09-30,115.81
2020-10-30,108.86
2020-11-30,119.05
2020-12-31,132.69
2021-01-29,131.96
2021-02-26,121.26
2021-03-31,122.15
2021-04-30,131.46
2021-05-28,124.61
2021-06-30,136.96
2021-07-30,145.86
2021-08-31,151.83
2021-09-30,141.5
2021-10-29,149.8
2021-11-30,165.3
2021-12-31,177.57
2022-01-31,174.78
2022-02-28,165.12
2022-03-31,174.61
2022-04-29,157.65
2022-05-31,148.84
2022-06-30,136.72
2022-07-29,162.51
2022-08-31,157.22
2022-09-30,138.2
