,Close
1999-12-31,47.0
2000-01-31,40.88
2000-02-29,38.13
2000-03-31,46.25
2000-04-28,47.44
2000-05-31,57.25
2000-06-30,50.69
2000-07-31,50.8
2000-08-31,61.86
2000-09-29,62.75
2000-10-31,61.75
2000-11-30,56.5
2000-12-29,56.88
2001-01-31,58.63
2001-02-28,53.31
2001-03-30,55.05
2001-04-30,59.6
2001-05-31,64.74
2001-06-29,57.0
2001-07-31,57.09
2001-08-31,57.5
2001-09-28,53.94
2001-10-31,54.41
2001-11-30,55.63
2001-12-31,60.26
2002-01-31,58.47
2002-02-28,59.11
2002-03-28,62.8
2002-04-30,59.81
2002-05-31,57.55
2002-06-28,58.88
2002-07-31,51.75
2002-08-30,52.58
2002-09-30,46.24
2002-10-31,48.5
2002-11-29,47.81
2002-12-31,48.39
2003-01-31,48.19
2003-02-28,50.7
2003-03-31,53.6
2003-04-30,50.3
2003-05-30,53.97
2003-06-30,54.8
2003-07-31,52.34
2003-08-29,55.84
2003-09-30,54.75
2003-10-31,57.15
2003-11-28,56.74
2003-12-31,65.57
2004-01-30,65.88
2004-02-27,68.87
2004-03-31,69.81
2004-04-30,71.3
2004-05-28,73.33
2004-06-30,76.29
2004-07-30,78.77
2004-08-31,74.43
2004-09-30,82.85
2004-10-29,84.31
2004-11-30,90.99
2004-12-31,86.83
2005-01-31,92.79
2005-02-28,110.89
2005-03-31,107.84
2005-04-29,104.85
2005-05-31,107.84
2005-06-30,57.49
2005-07-29,62.59
2005-08-31,65.94
2005-09-30,69.91
2005-10-31,65.38
2005-11-30,60.51
2005-12-30,58.18
2006-01-31,64.7
2006-02-28,60.96
2006-03-31,63.15
2006-04-28,66.9
2006-05-31,63.29
2006-06-30,65.53
2006-07-31,68.64
2006-08-31,63.43
2006-09-29,59.53
2006-10-31,60.24
2006-11-30,67.3
2006-12-29,71.95
2007-01-31,66.41
2007-02-28,65.32
2007-03-30,68.35
2007-04-30,69.35
2007-05-31,77.43
2007-06-29,78.5
2007-07-31,80.84
2007-08-31,81.89
2007-09-28,87.77
2007-10-31,84.96
2007-11-30,80.04
2007-12-31,88.3
2008-01-31,80.11
2008-02-29,82.71
2008-03-31,76.21
2008-04-30,86.15
2008-05-30,93.1
2008-06-30,94.39
2008-07-31,81.62
2008-08-29,82.51
2008-09-30,73.25
2008-10-31,52.01
2008-11-28,52.52
2008-12-31,51.8
2009-01-30,47.53
2009-02-27,37.35
2009-03-31,39.16
2009-04-30,41.0
2009-05-29,45.84
2009-06-30,42.06
2009-07-31,43.71
2009-08-31,45.03
2009-09-30,45.16
2009-10-30,50.18
2009-11-30,51.77
2009-12-31,51.07
2010-01-29,48.0
2010-02-26,48.0
2010-03-31,51.17
2010-04-30,59.19
2010-05-28,51.86
2010-06-30,49.09
2010-07-30,55.22
2010-08-31,52.43
2010-09-30,57.43
2010-10-29,59.3875
2010-11-30,60.17
2010-12-31,68.1
2011-01-31,71.46
2011-02-28,77.87
2011-03-31,79.86
2011-04-29,78.89
2011-05-31,73.22
2011-06-30,75.19
2011-07-29,71.99
2011-08-31,68.07
2011-09-30,63.32
2011-10-31,69.65
2011-11-30,71.32
2011-12-30,72.87
2012-01-31,68.21
2012-02-29,76.55
2012-03-30,76.01
2012-04-30,71.63
2012-05-31,52.16
2012-06-29,55.88
2012-07-31,54.44
2012-08-31,56.79
2012-09-28,57.18
2012-10-31,57.85
2012-11-30,56.94
2012-12-31,57.99
2013-01-31,58.0
2013-02-28,57.95
2013-03-28,60.1
2013-04-30,60.45
2013-05-31,61.34
2013-06-28,60.5
2013-07-31,64.86
2013-08-30,66.3
2013-09-30,69.51
2013-10-31,73.33
2013-11-29,72.8
2013-12-31,70.65
2014-01-31,64.95
2014-02-28,66.5
2014-03-31,70.35
2014-04-30,74.31
2014-05-30,79.94
2014-06-30,85.73
2014-07-31,82.5
2014-08-29,81.22
2014-09-30,76.52
2014-10-31,72.15
2014-11-28,66.07
2014-12-31,69.06
2015-01-30,62.98
2015-02-27,65.2
2015-03-31,62.26
2015-04-30,67.92
2015-05-29,63.68
2015-06-30,61.41
2015-07-31,50.34
2015-08-31,49.15
2015-09-30,47.96
2015-10-30,53.35
2015-11-30,54.05
2015-12-31,46.69
2016-01-29,39.08
2016-02-29,33.83
2016-03-31,40.27
2016-04-29,47.79
2016-05-31,43.79
2016-06-30,43.6
2016-07-29,40.82
2016-08-31,41.05
2016-09-30,43.47
2016-10-31,43.45
2016-11-30,48.52
2016-12-30,50.14
2017-01-31,48.76
2017-02-28,47.57
2017-03-31,49.87
2017-04-28,47.91
2017-05-31,44.69
2017-06-30,43.96
2017-07-31,45.37
2017-08-31,43.66
2017-09-29,50.05
2017-10-31,51.15
2017-11-30,50.88
2017-12-29,54.89
2018-01-31,58.81
2018-02-28,54.31
2018-03-29,59.29
2018-04-30,65.5
2018-05-31,67.39
2018-06-29,69.62
2018-07-31,72.17
2018-08-31,73.43
2018-09-28,77.4
2018-10-31,69.9
2018-11-30,66.18
2018-12-31,62.35
2019-01-31,67.69
2019-02-28,67.85
2019-03-29,66.74
2019-04-30,63.12
2019-05-31,58.96
2019-06-28,61.0
2019-07-31,59.08
2019-08-30,52.18
2019-09-30,56.98
2019-10-31,55.2
2019-11-29,59.94
2019-12-31,65.03
2020-01-31,59.43
2020-02-28,48.42
2020-03-31,30.8
2020-04-30,42.1
2020-05-29,42.18
2020-06-30,42.02
2020-07-31,37.39
2020-08-31,37.89
2020-09-30,32.84
2020-10-30,28.62
2020-11-30,39.56
2020-12-31,39.99
2021-01-29,40.03
2021-02-26,52.01
2021-03-31,52.97
2021-04-30,51.14
2021-05-28,55.74
2021-06-30,60.9
2021-07-30,56.06
2021-08-31,55.53
2021-09-30,67.77
2021-10-29,74.49
2021-11-30,70.13
2021-12-31,72.18
2022-01-31,88.62
2022-02-28,94.86
2022-03-31,100.0
2022-04-29,95.52
2022-05-31,112.36
2022-06-30,89.81
2022-07-29,97.43
2022-08-31,109.45
2022-09-30,102.34
2022-10-31,126.09
2022-11-30,123.51
2022-12-30,118.0
2023-01-31,121.87
2023-02-28,103.35
2023-03-31,99.21
2023-04-28,102.89
2023-05-31,99.3
2023-06-30,103.61
2023-07-31,117.72
2023-08-31,119.03
2023-09-29,119.8
2023-10-31,118.8
2023-11-30,115.57
2023-12-29,116.07
2024-01-31,111.87
2024-02-29,112.54
2024-03-28,127.28
2024-04-30,125.62
2024-05-31,116.48
2024-06-28,114.38
2024-07-31,111.2
2024-08-30,113.79
2024-09-30,105.28
2024-10-31,109.54
2024-11-29,108.34
2024-12-31,99.17
2025-01-31,98.83
2025-02-28,99.15
2025-03-31,105.02
2025-04-30,89.12
2025-05-30,85.35
2025-06-30,89.74
2025-07-31,95.34
2025-08-29,98.97
2025-09-30,94.59
2025-10-31,88.86
2025-11-28,88.69
2025-12-31,93.61
2026-01-30,104.23
2026-02-27,113.46
2026-03-31,132.0
2026-04-30,125.78
2026-05-18,124.54
